station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
Granville & Georgia,49.282409,-123.118541,Commodore Ballroom,,,Music Venue,,,265.0,838 Granville St,FourSquare
Granville & Georgia,49.282409,-123.118541,Kokoro Tokyo Mazesoba,,,Ramen Restaurant,,,268.0,551 Seymour St,FourSquare
Granville & Georgia,49.282409,-123.118541,Louis Vuitton,,,Leather Goods Store,,,253.0,737 Dunsmuir St,FourSquare
Granville & Georgia,49.282409,-123.118541,The Orpheum,,,Music Venue,,,282.0,601 Smithe St,FourSquare
Pender & Burrard,49.287097,-123.118551,Koffie,,,Café,,,71.0,1050 Pender St W,FourSquare
Pender & Burrard,49.287097,-123.118551,Botanist,,,Restaurant,,,185.0,1038 Canada Pl,FourSquare
Pender & Burrard,49.287097,-123.118551,Cactus Club Cafe Bentall 5,,,American Restaurant,,,175.0,588 Burrard St,FourSquare
Pender & Burrard,49.287097,-123.118551,The Vancouver Club,,,Structure,,,212.0,915 Hastings St W,FourSquare
Pender & Burrard,49.287097,-123.118551,Scotiabank,,,Movie Theater,,,257.0,200 Burrard St,FourSquare
Pender & Burrard,49.287097,-123.118551,Cactus Club Cafe,,,American Restaurant,,,280.0,1085 Canada Pl,FourSquare
Pender & Burrard,49.287097,-123.118551,Jack Poole Plaza,,,Plaza,,,292.0,Vancouver Convention Ctr,FourSquare
Pender & Burrard,49.287097,-123.118551,Breka Bakery & Café,,,Bakery,,,320.0,740 Hastings St W,FourSquare
Pender & Burrard,49.287097,-123.118551,Tap & Barrel,,,Bar,,,330.0,1055 Canada Pl,FourSquare
Pender & Burrard,49.287097,-123.118551,49th Parallel Café & Lucky's Doughnuts - THURLOW,,,Dining and Drinking,,,338.0,689 Thurlow St,FourSquare
Marinaside & Davie,49.273471,-123.118016,OEB Breakfast Co,,,Dining and Drinking,,,102.0,1137 Marinaside Cres,FourSquare
Marinaside & Davie,49.273471,-123.118016,Provence Marinaside,,,French Restaurant,,,108.0,1177 Marinaside Cres,FourSquare
Marinaside & Davie,49.273471,-123.118016,La Terrazza,,,Italian Restaurant,,,167.0,1088 Cambie St,FourSquare
Marinaside & Davie,49.273471,-123.118016,Minami Restaurant,,,Sushi Restaurant,,,283.0,1118 Mainland St,FourSquare
Marinaside & Davie,49.273471,-123.118016,Cooper's Park,,,Dog Park,,,285.0,1020 Marinaside Cres,FourSquare
Marinaside & Davie,49.273471,-123.118016,Angus T,,,Bakery,,,298.0,1036 Mainland St,FourSquare
Marinaside & Davie,49.273471,-123.118016,Mister,,,Ice Cream Parlor,,,312.0,1141 Mainland St,FourSquare
Marinaside & Davie,49.273471,-123.118016,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,278.0,181 Roundhouse Mews,FourSquare
Marinaside & Davie,49.273471,-123.118016,MeeT in Yaletown,,,Vegan and Vegetarian Restaurant,,,319.0,1165 Mainland St,FourSquare
Marinaside & Davie,49.273471,-123.118016,The Flying Pig Yaletown,,,Restaurant,,,346.0,1168 Hamilton St,FourSquare
Robson & Hornby,49.282758,-123.122092,Lululemon Athletica,,,Clothing Store,,,56.0,1148 Robson St,FourSquare
Robson & Hornby,49.282758,-123.122092,Vancouver Art Gallery,,,Art Gallery,,,108.0,750 Hornby St,FourSquare
Robson & Hornby,49.282758,-123.122092,Rocky Mountain Chocolate Factory,,,Candy Store,,,125.0,1017 Robson St,FourSquare
Robson & Hornby,49.282758,-123.122092,JOEY Burrard,,,New American Restaurant,,,102.0,820 Burrard St,FourSquare
Robson & Hornby,49.282758,-123.122092,Boulevard Kitchen & Oyster Bar,,,French Restaurant,,,133.0,845 Burrard St,FourSquare
Robson & Hornby,49.282758,-123.122092,Indigo - Robson,,,Bookstore,,,173.0,1033 Robson St,FourSquare
Robson & Hornby,49.282758,-123.122092,Robson Square,,,Plaza,,,187.0,800 Robson St,FourSquare
Robson & Hornby,49.282758,-123.122092,Hawksworth Restaurant,,,Restaurant,,,223.0,801 Georgia St W,FourSquare
Robson & Hornby,49.282758,-123.122092,Le Crocodile Restaurant,,,French Restaurant,,,228.0,100A90 Burrard St,FourSquare
Robson & Hornby,49.282758,-123.122092,Thierry,,,Dessert Shop,,,226.0,1059 Alberni St,FourSquare
Hornby & Pender,49.28602,-123.116624,The Vancouver Club,,,Structure,,,126.0,915 Hastings St W,FourSquare
Hornby & Pender,49.28602,-123.116624,Breka Bakery & Café,,,Bakery,,,144.0,740 Hastings St W,FourSquare
Hornby & Pender,49.28602,-123.116624,Cactus Club Cafe Bentall 5,,,American Restaurant,,,169.0,588 Burrard St,FourSquare
Hornby & Pender,49.28602,-123.116624,Louis Vuitton,,,Leather Goods Store,,,203.0,737 Dunsmuir St,FourSquare
Hornby & Pender,49.28602,-123.116624,Sephora,,,Cosmetics Store,,,231.0,701 Georgia St E,FourSquare
Hornby & Pender,49.28602,-123.116624,Scotiabank,,,Movie Theater,,,217.0,200 Burrard St,FourSquare
Hornby & Pender,49.28602,-123.116624,Botanist,,,Restaurant,,,242.0,1038 Canada Pl,FourSquare
Hornby & Pender,49.28602,-123.116624,Koffie,,,Café,,,238.0,1050 Pender St W,FourSquare
Hornby & Pender,49.28602,-123.116624,The Keg Steakhouse + Bar,,,Restaurant,,,286.0,688 Dunsmuir St,FourSquare
Hornby & Pender,49.28602,-123.116624,Kokoro Tokyo Mazesoba,,,Ramen Restaurant,,,309.0,551 Seymour St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Vancouver Public Library,,,Library,,,66.0,350 Georgia St W,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Cafe Medina,,,Café,,,95.0,780 Richards St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,JJ Bean,,,Coffee Shop,,,110.0,740 Hamilton St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Fanny Bay Oyster Bar & Shellfish Market,,,Seafood Restaurant,,,199.0,762 Cambie St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Homer St. Cafe and Bar,,,Restaurant,,,202.0,898 Homer St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Queen Elizabeth Theatre,,,Music Venue,,,265.0,600 Block Hamilton St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,The Orpheum,,,Music Venue,,,287.0,601 Smithe St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,White Spot Dunsmuir,,,Dining and Drinking,,,317.0,405 Dunsmuir St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Commodore Ballroom,,,Music Venue,,,344.0,838 Granville St,FourSquare
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Pizza Garden,,,Pizzeria,,,346.0,675 Smithe St,FourSquare
Beatty & Nelson,49.275679,-123.116963,La Terrazza,,,Italian Restaurant,,,160.0,1088 Cambie St,FourSquare
Beatty & Nelson,49.275679,-123.116963,Tacofino,,,Taco Restaurant,,,216.0,1025 Mainland St,FourSquare
Beatty & Nelson,49.275679,-123.116963,Angus T,,,Bakery,,,212.0,1036 Mainland St,FourSquare
Beatty & Nelson,49.275679,-123.116963,The Keg Steakhouse + Bar - Yaletown,,,Restaurant,,,214.0,1011 Mainland St,FourSquare
Beatty & Nelson,49.275679,-123.116963,Minami Restaurant,,,Sushi Restaurant,,,281.0,1118 Mainland St,FourSquare
